superiotool r4.20-862-g11ba8ebbcc
Found Nuvoton NCT5539D (id=0xd121) at 0x2e
Register dump:
idx   val    def
0x10: 0xff   (0xff)
0x11: 0xff   (0xff)
0x13: 0xff   (0x00)
0x14: 0xff   (0x00)
0x1a: 0x38   (0x30)
0x1b: 0x70   (0x50)
0x1c: 0x10   (0x10)
0x1d: 0x00   (0x00)
0x22: 0xff   (0xff)
0x24: 0x00   (0x04)
0x25: 0x00   (0x00)
0x26: 0x00   (MM)
0x27: 0x03   (0x03)
0x28: 0x00   (0x00)
0x2a: 0x00   (0xc0)
0x2b: 0x00   (0x00)
0x2c: 0x00   (0x01)
0x2d: 0x00   (MM)
0x2f: 0x01   (MM)

LDN 0x02 (UART A)
idx   val    def
0x30: 0x01   (0x01)
0x60: 0x03   (0x03)
0x61: 0xf8   (0xf8)
0x70: 0x04   (0x04)
0xf0: 0x00   (0x00)
0xf2: 0x00   (0x00)

LDN 0x05 (Keyboard Controller)
idx   val    def
0x30: 0x01   (0x00)
0x60: 0x00   (0x00)
0x61: 0x60   (0x00)
0x62: 0x00   (0x00)
0x63: 0x64   (0x00)
0x70: 0x01   (0x00)
0x72: 0x0c   (0x00)
0xf0: 0x83   (0x83)

LDN 0x06 (Consumer IR)
idx   val    def
0x30: 0x00   (0x00)
0x60: 0x00   (0x00)
0x61: 0x00   (0x00)
0x70: 0x00   (0x00)

LDN 0x07 (GPIO 7, GPIO 8)
idx   val    def
0x30: 0x00   (0x00)
0xe0: 0xff   (0xff)
0xe1: 0xff   (NA)
0xe2: 0xff   (0x00)
0xe3: 0xff   (NA)
0xe4: 0xff   (0xff)
0xe5: 0xff   (NA)
0xe6: 0xff   (0x00)
0xe7: 0xff   (NA)
0xec: 0xff   (0x00)
0xed: 0xff   (0x00)

LDN 0x08 (WDT1, WDT3, GPIO 0, KBC P20)
idx   val    def
0x30: 0x00   (0x00)
0x60: 0x00   (0x00)
0x61: 0x00   (0x00)
0xe0: 0xff   (0xff)
0xe1: 0xff   (NA)
0xe2: 0xff   (0x00)
0xe3: 0xff   (NA)
0xe4: 0xff   (0x00)
0xf5: 0xff   (0x00)
0xf6: 0x00   (0x00)
0xf7: 0xff   (0x00)
0xf8: 0xff   (0x00)
0xf9: 0x00   (0x00)
0xfa: 0xff   (0x00)
0xfe: 0x00   (0x00)
0xff: 0x00   (0x00)

LDN 0x09 (GPIO 2, GPIO 3, GPIO 4, GPIO 5)
idx   val    def
0x30: 0x00   (0x00)
0xe0: 0xff   (0xff)
0xe1: 0xff   (NA)
0xe2: 0xff   (0x00)
0xe3: 0xff   (NA)
0xe4: 0xff   (0x7f)
0xe5: 0xff   (NA)
0xe6: 0xff   (0x00)
0xe7: 0xff   (NA)
0xe8: 0xff   (NA)
0xe9: 0xff   (0x00)
0xea: 0xff   (0x00)
0xeb: 0xff   (0x00)
0xee: 0xff   (0x00)
0xf0: 0xff   (0xff)
0xf1: 0xff   (NA)
0xf2: 0xff   (0x00)
0xf4: 0xff   (0xff)
0xf5: 0xff   (NA)
0xf6: 0xff   (0x00)
0xf7: 0xff   (NA)

LDN 0x0a (ACPI)
idx   val    def
0xe0: 0x01   (0x01)
0xe1: 0x00   (0x00)
0xe2: 0x00   (0x00)
0xe3: 0x14   (0x00)
0xe4: 0x00   (0x00)
0xe5: 0x02   (0x02)
0xe6: 0x9c   (0x1a)
0xe7: 0x00   (0x00)
0xe9: 0x00   (0x00)
0xec: 0x81   (0x00)
0xed: 0x01   (0x01)
0xee: 0x00   (0x00)
0xf0: 0x10   (0x10)
0xf1: 0x48   (0x48)
0xf2: 0x5c   (0x5c)
0xf3: 0x40   (0x00)
0xf6: 0x00   (0x00)
0xf7: 0xc0   (0xc0)
0xfc: 0x80   (0x80)

LDN 0x0b (Hardware Monitor, Front Panel LED)
idx   val    def
0x30: 0x01   (0x00)
0x60: 0x0a   (0x00)
0x61: 0x20   (0x00)
0x70: 0x00   (0x00)
0xe0: 0x7f   (0x7f)
0xe1: 0x7f   (0x7f)
0xe2: 0x7f   (0x7f)
0xe3: 0x7f   (0x7f)
0xe4: 0x7f   (0x7f)
0xe5: 0xa8   (0xa8)
0xe6: 0x08   (0x08)
0xe7: 0x7f   (0x7f)
0xec: 0x00   (0x00)
0xed: 0x81   (0x81)
0xf0: 0x41   (0x00)
0xf1: 0x41   (0x00)
0xf2: 0x00   (0x00)
0xf6: 0x00   (0x00)
0xf7: 0x87   (0x87)
0xf8: 0x47   (0x47)
0xf9: 0x07   (0x00)
0xfa: 0x03   (0x00)
0xfb: 0x00   (0x00)
0xfc: 0x02   (0x02)

LDN 0x0d (WDT2)
idx   val    def
0xe7: 0x10   (0x10)
0xe8: 0x32   (0x32)
0xeb: 0x14   (0x14)
0xed: 0x00   (0x00)
0xf0: 0x00   (0x00)
0xf3: 0x00   (0x00)

LDN 0x0e (CIR Wake-Up)
idx   val    def
0x30: 0x00   (0x00)
0x60: 0x00   (0x00)
0x61: 0x00   (0x00)
0x70: 0x00   (0x00)

LDN 0x0f (GPIO Push-Pull or Open-Drain selection)
idx   val    def
0xe1: 0xff   (0xff)
0xe2: 0x7f   (0x7f)
0xe3: 0xff   (0xff)
0xe4: 0xff   (0xff)
0xe6: 0xff   (0xff)
0xe7: 0xff   (0xff)
0xe9: 0xff   (0xff)

LDN 0x11 (GPIO, RI PSOUT Wake-Up Status)
idx   val    def
0xe1: 0x00   (0x00)
0xe2: 0x00   (0x00)
0xe9: 0x00   (0x00)

LDN 0x12 (SW Error Control)
idx   val    def
0xe1: 0x00   (0x00)
0xe7: 0x00   (0x00)
0xea: 0x10   (0x10)
0xeb: 0x00   (0x00)
0xec: 0x04   (0x00)

LDN 0x15 (Fading LED)
idx   val    def
0xf0: 0xff   (0xff)
0xf1: 0x7f   (0x7f)
0xf2: 0x00   (0x00)
0xf3: 0x56   (0x56)
0xf4: 0x56   (0x56)
0xf5: 0x17   (0x17)
0xf6: 0x00   (0x00)
0xf7: 0x0f   (0x0f)
0xf8: 0x10   (0x10)

LDN 0x16 (Deep Sleep)
idx   val    def
0x30: 0xa0   (0xa0)
0xe0: 0x20   (0x20)
0xe1: 0x04   (0x04)
0xe2: 0x05   (0x05)
0xe3: 0x01   (0x01)

